date,user,name,text,retweet,favorite,location
2021-08-14 23:02:44,biedexmarkets,Biedex Markets,"U.S. administers 355.8 million doses of COVID-19 vaccines

© Reuters. FILE PHOTO: Vials of Pfizer's coronavirus dis… https://t.co/Br8GSanHEr",0,0,"London, England"
2021-08-14 23:02:44,TeflonPawn,🌎,"@emptywheel Eisenhower, Vaccine, England's got a new queen
Marciano, Liberace, Santayana, goodbye",0,0,
2021-08-14 23:02:44,WorkLynda724,Lynda Work,Is this what you want for kids????  https://t.co/rxbK5MAWiH https://t.co/Rs4KzQ1NhG,0,0,"Texas, USA"
2021-08-14 23:02:43,randomjan111,Janis Kay,@VeggieDoc @FurlongMick @BellHappe So your aware this is an experiment vaccine?,0,0,"South East, England"
2021-08-14 23:02:43,haven14paradise,💉 Kathryn Forward,@damiencave @adamliaw They had long periods of strict lockdown and a great vaccine floor and publicity... my 1st ye… https://t.co/uYzeeAgwyv,0,0,Biripi country
2021-08-14 23:02:43,y2k_liyah,macron hate account,"je lui ai dis ""if he shows more, im going to get this DAMMIT vaccine""",0,0,"marseille, france"
2021-08-14 23:02:41,detsang,Derek Tsang,I can attest to this - was a proud partner with @BermanNDP at a vaccine clinic!! #IAmVaccinated https://t.co/2U3YTr56o1,0,0,"Toronto, Ontario"
2021-08-14 23:02:39,b0nediary,elfie / high res era,the best part is when i go back to med res after my vaccine the weight that i’ll drop…. eheheh,0,0,she/they / 22 / bmi 18
2021-08-14 23:02:39,imprettybitter,Zsa Zsa (Crypto $arah)🥂💁🏼‍♀️,@katea76 That does not however justify or vindicate the lack of action from the criminal NSW government who for 7 w… https://t.co/n7rCS98ENw,0,0,"Bali, Indonesia"
2021-08-14 23:02:37,KevinMRocks,Kevin Malone,"@NikkiFried Have the Qrazies, anti-maskers and anti-vaxxers, who are obsessed with some kind of depopulation agenda… https://t.co/5mB952ZX5M",0,0,
2021-08-14 23:02:36,donnaluxton5,Donna Clark,"@TMZ Agree totally, don’t believe in the vaccine! Don’t believe in treatment!",0,0,
2021-08-14 23:02:35,treesforTrump,The Birch,I agree and it's a sin that most deaths are now COVID which is not true but when people start dying from the vaccin… https://t.co/6ji3Ivw5xU,0,0,
